Scrip,Date,Qty,Price,days,gain,Total,Type
ULTRACEMCO,2023-10-03,4,2059.125,,,8236.5,Buy
TITAN,2023-05-02,15,2649.05,138,8988,39735.75,Buy
TITAN,2022-02-08,1,2404.8,586,843.45,2404.8,Buy
TITAN,2022-01-21,1,2537.15,604,711.1,2537.15,Buy
TITAN,2021-12-24,1,2321.2,632,927.05,2321.2,Buy
TITAN,2021-11-26,1,2305.95,660,942.3,2305.95,Buy
TITAN,2021-10-26,1,2453.05,691,795.2,2453.05,Buy
TITAN,2021-10-12,1,2455.9,705,792.35,2455.9,Buy
TITAN,2021-08-25,1,1851.2,753,1397.05,1851.2,Buy
TITAN,2021-07-28,1,1740,781,1508.25,1740,Buy
TITAN,2021-05-24,2,1512,846,3472.5,3024,Buy
TITAN,2021-05-03,2,1446.9,867,3602.7,2893.8,Buy
TITAN,2021-03-24,2,1479.6,907,3537.3,2959.2,Buy
TITAN,2021-02-23,2,1432.2,936,3632.1,2864.4,Buy
TITAN,2021-01-07,2,1541.3,983,3413.9,3082.6,Buy
TITAN,2020-12-08,1,1428.8,1013,1819.45,1428.8,Buy
TITAN,2020-12-08,1,1428.8,1013,1819.45,1428.8,Buy
TITAN,2020-11-11,1,1269.15,1040,1979.1,1269.15,Buy
TITAN,2020-11-11,1,1269.15,1040,1979.1,1269.15,Buy
TITAN,2020-10-09,2,1261.05,1073,3974.4,2522.1,Buy
TITAN,2020-09-04,2,1173,1108,4150.5,2346,Buy
TITAN,2020-08-07,2,1122.75,1136,4251,2245.5,Buy
TITAN,2020-07-08,2,1013.35,1166,4469.8,2026.7,Buy
TITAN,2020-06-09,2,1018.2,1195,4460.1,2036.4,Buy
TITAN,2020-05-07,2,850.05,1228,4796.4,1700.1,Buy
TITAN,2020-04-13,2,962.8,1252,4570.9,1925.6,Buy
TITAN,2020-01-13,1,1153,1343,2095.25,1153,Buy
TITAN,2019-12-11,1,1182.75,1376,2065.5,1182.75,Buy
TITAN,2019-12-10,3,1187.9,1377,6181.05,3563.7,Buy
TIMETECHNO,2019-11-25,10,55.35,1392,1013.5,553.5,Buy
TIMETECHNO,2019-10-25,12,57.7,1423,1188,692.4,Buy
TIMETECHNO,2019-09-25,6,64.9,1453,550.8,389.4,Buy
TIMETECHNO,2019-08-26,12,60.4,1483,1155.6,724.8,Buy
TIMETECHNO,2019-07-25,8,78.65,1515,624.4,629.2,Buy
TIMETECHNO,2019-06-25,3,95.5,1545,183.6,286.5,Buy
TIMETECHNO,2019-06-25,1,95.45,1545,61.25,95.45,Buy
TIMETECHNO,2019-05-22,6,86.8,1579,419.4,520.8,Buy
TIMETECHNO,2019-04-25,6,95.2,1606,369,571.2,Buy
TIMETECHNO,2019-03-25,5,99.05,1637,288.25,495.25,Buy
